"Order","Family","AdultBodyMass_g","AdultHeadBodyLen_mm","DietBreadth","HabitatBreadth","HomeRange_km2","SocialGrpSize","Terrestriality","TrophicLevel","GR_Area_km2","GR_MidRangeLat_dd","GR_MaxLat_dd","GR_MinLat_dd","GR_MaxLong_dd","GR_MinLong_dd","GR_MidRangeLong_dd","tips"
"Artiodactyla","Cervidae",34620.4,1224.74,3,1,6.16,3.5,1,1,3649669.28,-21.88,-7.21,-36.56,-40.94,-66.51,-53.73,"Ozotoceros_bezoarticus"
"Artiodactyla","Bovidae",32733.12,NA,NA,NA,NA,NA,NA,NA,1113531.45,32.83,36.73,28.92,99.29,80.73,90.01,"Pantholops_hodgsonii"
"Artiodactyla","Tayassuidae",21133.69,889.34,5,1,1.37,20,1,1,15771441.38,0.14,35.07,-34.78,-34.79,-114.45,-74.62,"Pecari_tajacu"
"Artiodactyla","Suidae",75607.52,NA,4,1,1.35,2,1,1,851932.22,4.71,11.49,-2.05,46.38,34.47,40.42,"Phacochoerus_aethiopicus"
"Artiodactyla","Suidae",82499.99,1355.54,1,NA,1.55,NA,NA,1,11093470.88,-6.61,18.77,-32,44.87,-17.53,13.66,"Phacochoerus_africanus"
"Artiodactyla","Bovidae",8557.69,845.23,7,1,NA,1.95,1,2,1214155.52,9.1,13.85,4.35,6.79,-16.82,-5.01,"Philantomba_maxwellii"
"Artiodactyla","Bovidae",4896.05,692.3,3,1,NA,1.9,1,2,6552145.69,-12.45,9.54,-34.44,40.52,5.92,23.22,"Philantomba_monticola"
"Artiodactyla","Bovidae",97842.2,1750,2,NA,NA,1,NA,1,11820.15,17.64,19.53,15.74,107.71,104.07,105.89,"Pseudoryx_nghetinhensis"
"Artiodactyla","Suidae",69063.79,NA,7,1,4.47,8,1,2,5892226.64,-10.37,13.69,-34.44,46.08,13.07,29.57,"Potamochoerus_larvatus"
"Artiodactyla","Suidae",70000.31,1369.3,5,1,NA,10.56,1,2,5033216.84,2.71,13.53,-8.1,36.11,-16.82,9.64,"Potamochoerus_porcus"
"Artiodactyla","Bovidae",28274.27,1243.28,1,1,NA,NA,1,1,322170.9,45.77,49.45,42.09,117.77,91.47,104.62,"Procapra_gutturosa"
"Artiodactyla","Bovidae",23197.67,980,NA,NA,NA,NA,NA,NA,1936510.55,33.64,39.03,28.25,102.5,77.75,90.12,"Procapra_picticaudata"
"Artiodactyla","Bovidae",27499.99,NA,NA,NA,NA,NA,NA,NA,40688.43,37.06,37.9,36.23,102.63,99.5,101.06,"Procapra_przewalskii"
"Artiodactyla","Cervidae",161681.9,NA,NA,NA,NA,NA,NA,NA,1061382.86,33.72,39.57,27.88,103.96,91.7,97.83,"Cervus_albirostris"
"Artiodactyla","Bovidae",52334.57,1299.99,2,1,NA,NA,1,1,3101839.68,34.44,41.55,27.33,111.28,75.32,93.3,"Pseudois_nayaur"
"Artiodactyla","Bovidae",29249.99,NA,NA,1,NA,NA,1,NA,61143.76,30.55,32.97,28.14,99.57,97.52,98.54,"Pseudois_schaeferi"
"Artiodactyla","Cervidae",9599.96,NA,NA,NA,NA,NA,NA,NA,244304.21,-3.73,5.09,-12.56,-73.55,-79.28,-76.41,"Pudu_mephistophiles"
"Artiodactyla","Cervidae",9642.62,NA,4,1,0.17,NA,1,1,223036.92,-43.69,-34.84,-52.55,-70.94,-74.3,-72.62,"Pudu_puda"
"Artiodactyla","Cervidae",177522.9,2040,3,NA,NA,NA,NA,1,7050571.04,12.02,29.99,-5.94,122,72.5,97.25,"Rusa_unicolor"
"Artiodactyla","Cervidae",171223.86,1500,2,2,14.11,64.25,1,1,255737.11,25.76,29.44,22.08,93.68,77.22,85.45,"Rucervus_duvaucelii"
"Artiodactyla","Cervidae",95471.61,1650,3,1,NA,NA,1,1,119941.73,18.86,25.34,12.38,109.95,93.14,101.55,"Rucervus_eldii"
"Artiodactyla","Cervidae",107626.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rucervus_schomburgki"
"Artiodactyla","Bovidae",29999.99,NA,NA,NA,NA,NA,NA,NA,13561.93,42.41,43.21,41.6,14.22,-6.73,3.74,"Rupicapra_pyrenaica"
"Artiodactyla","Bovidae",33266.35,NA,2,1,2.65,1,1,1,742756.93,43.5,51.33,35.66,47.08,5.29,26.19,"Rupicapra_rupicapra"
"Artiodactyla","Cervidae",46475.04,NA,NA,NA,NA,NA,NA,NA,24504.78,10.48,11.94,9.03,123.56,121.84,122.7,"Rusa_alfredi"
"Artiodactyla","Cervidae",49457.61,1255,NA,NA,NA,NA,NA,NA,220497.9,12.1,18.65,5.55,126.6,116.93,121.76,"Rusa_marianna"
"Artiodactyla","Cervidae",66375.5,1634.99,2,NA,NA,NA,NA,1,132249.02,-7.36,-5.87,-8.84,115.71,105.2,110.46,"Rusa_timorensis"
"Artiodactyla","Cervidae",109088.5,2224.35,3,NA,2771.22,NA,NA,1,18376464.07,64.59,83.62,45.55,177.44,-168.12,4.65,"Rangifer_tarandus"
"Artiodactyla","Bovidae",11661.53,824.99,5,1,0.43,2,1,1,4930075.62,-16.61,1.61,-34.83,41.77,11.71,26.74,"Raphicerus_campestris"
"Artiodactyla","Bovidae",10503.14,NA,2,1,NA,1.5,1,1,243785.08,-32.31,-29.78,-34.83,29.42,17.1,23.26,"Raphicerus_melanotis"
"Artiodactyla","Bovidae",9396.9,679.99,3,1,NA,1.5,1,1,2548307.11,-15.29,-3.42,-27.16,40.84,22.67,31.75,"Raphicerus_sharpei"
"Artiodactyla","Bovidae",58059.24,1505,2,1,NA,1.75,1,1,5149998.73,-16.58,-2.09,-31.07,40.84,11.12,25.98,"Redunca_arundinum"
"Artiodactyla","Bovidae",29352.66,1230,1,1,0.07,4.75,1,1,1134766.5,-12.32,9.55,-34.21,39.72,10.75,25.24,"Redunca_fulvorufula"
"Artiodactyla","Bovidae",43288.95,1150,1,1,NA,NA,1,1,6462304.59,2.21,16.27,-11.83,41.29,-17.4,11.94,"Redunca_redunca"
"Artiodactyla","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,125569.97,46.67,49,44.35,99.24,91.7,95.47,"Saiga_borealis"
"Artiodactyla","Bovidae",37734.01,1160,2,2,NA,27.5,2,1,2926916.31,46.47,51.61,41.32,90.5,41.49,65.99,"Saiga_tatarica"
"Artiodactyla","Bovidae",52591.69,1420,2,1,1.97,15.25,1,1,3926868.66,-12.91,2.58,-28.42,40.84,11.71,26.27,"Aepyceros_melampus"
"Artiodactyla","Bovidae",96077.36,NA,5,1,NA,12.62,1,1,1168708.88,20.52,26.45,14.6,32.63,-16.77,7.93,"Addax_nasomaculatus"
"Artiodactyla","Bovidae",43250.39,1247.1,4,2,0.02,1,1,1,13167565.73,-9.36,16.11,-34.83,45.58,-17.53,14.02,"Tragelaphus_scriptus"
"Artiodactyla","Bovidae",75554.25,1520.84,2,2,NA,6,1,1,5256068.76,-3.27,14.37,-20.93,35.23,-16.82,9.2,"Tragelaphus_spekii"
"Artiodactyla","Bovidae",206056.41,2199.99,2,1,835.1,12,1,1,6476879.55,-6.95,20.14,-34.05,47.94,12.44,30.19,"Tragelaphus_strepsiceros"
"Artiodactyla","Tragulidae",1889.93,514.29,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"Tragulus_javanicus"
"Artiodactyla","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,3708821.44,9.09,24.14,-5.94,123.67,72.61,98.14,"Tragulus_kanchil"
"Artiodactyla","Tragulidae",5273.67,562.36,3,NA,NA,NA,NA,1,1593229.34,4.18,14.3,-5.94,119.26,95.18,107.22,"Tragulus_napu"
"Artiodactyla","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,11882.48,9.61,11.42,7.8,119.71,116.93,118.32,"Tragulus_nigricans"
"Artiodactyla","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tragulus_versicolor"
"Artiodactyla","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tragulus_williamsoni"
"Artiodactyla","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,108626.43,8.68,12.33,5.04,126.6,116.93,121.76,"Sus_ahoenobarbus"
"Artiodactyla","Suidae",135805.95,1349.99,6,1,NA,6.25,1,2,970249.8,0.54,7.03,-5.94,119.26,96.84,108.05,"Sus_barbatus"
"Artiodactyla","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,2834.16,18.17,18.64,17.7,105.41,104.78,105.09,"Sus_bucculentus"
"Artiodactyla","Suidae",190792.3,1349.99,6,NA,NA,4.5,NA,2,27761.56,10.82,12.6,9.03,124.07,121.84,122.96,"Sus_cebifrons"
"Artiodactyla","Suidae",53813.21,NA,5,NA,NA,NA,NA,2,173576.36,-2.37,1.75,-6.49,125.29,118.75,122.02,"Sus_celebensis"
"Artiodactyla","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sus_oliveri"
"Artiodactyla","Suidae",190792.3,1349.99,6,NA,NA,3.75,NA,2,237934.97,12.1,18.65,5.55,126.6,119.74,123.17,"Sus_philippensis"
"Artiodactyla","Suidae",7974.13,599.66,4,1,0.15,5,1,2,25728.78,26.7,27.06,26.33,93.44,87.93,90.69,"Porcula_salvania"
"Artiodactyla","Suidae",84471.54,1349.99,5,NA,1.18,13,NA,2,25951693.02,25.6,59.99,-8.78,138.36,-9.89,64.23,"Sus_scrofa"
"Artiodactyla","Suidae",89406.23,1250,3,NA,NA,5,NA,2,97964.63,-7.25,-5.72,-8.78,114.6,106.05,110.32,"Sus_verrucosus"
"Artiodactyla","Bovidae",15639.15,960.71,4,1,NA,1,1,1,14120906.18,-9.22,16.39,-34.83,46.19,-17.53,14.33,"Sylvicapra_grimmia"
"Artiodactyla","Bovidae",592665.98,2525.86,1,1,63.73,12,1,1,11706834.65,-8.82,15.85,-33.51,43.95,-14.48,14.73,"Syncerus_caffer"
"Artiodactyla","Bovidae",160937.86,1974.99,2,1,2.73,20,1,1,4706770.4,5.81,17.65,-6.03,45.78,-15.68,15.05,"Alcelaphus_buselaphus"
"Artiodactyla","Bovidae",176115.97,NA,NA,NA,NA,NA,NA,NA,873624.18,-21.68,-16.05,-27.32,27.42,14.27,20.84,"Alcelaphus_caama"
"Artiodactyla","Bovidae",168695.66,NA,3,1,4.41,10,1,1,2264335.8,-11.63,-1.36,-21.89,39.41,19.07,29.24,"Alcelaphus_lichtensteinii"
"Artiodactyla","Cervidae",461900.76,2930.47,1,1,71.75,1,1,1,NA,NA,NA,NA,NA,NA,NA,"Alces_alces"
"Artiodactyla","Cervidae",541460.44,2097.16,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Alces_americanus"
"Artiodactyla","Bovidae",28049.81,1509.96,NA,1,NA,NA,1,NA,287056.65,6.18,9.57,2.79,50.02,43.14,46.58,"Ammodorcas_clarkei"
"Artiodactyla","Bovidae",94202.22,1449.99,2,1,7.06,NA,1,1,1447450.84,24.84,35.21,14.47,36.55,-15.33,10.6,"Ammotragus_lervia"
"Artiodactyla","Bovidae",33571.24,1055,2,1,NA,NA,1,1,1066805.09,-20.74,-12.52,-28.97,27.61,11.71,19.66,"Antidorcas_marsupialis"
"Artiodactyla","Antilocapridae",47450.01,1310,2,1,8.05,12,1,1,2009745.94,37.21,51.37,23.04,-95.02,-121.25,-108.14,"Antilocapra_americana"
"Artiodactyla","Bovidae",36301.1,1250,5,1,0.62,30,1,1,1248646.6,18.75,29.43,8.06,84.2,68.91,76.56,"Antilope_cervicapra"
"Artiodactyla","Bovidae",646024.25,2522.02,1,1,NA,NA,1,1,937936.53,8.76,14.03,3.48,31.51,-14.48,8.51,"Tragelaphus_derbianus"
"Artiodactyla","Bovidae",562592.69,2656.78,3,1,195.15,4.05,1,1,5405307.84,-10.1,7.22,-27.42,41.67,12.47,27.07,"Tragelaphus_oryx"
"Artiodactyla","Tayassuidae",31798.71,1110,6,1,40.97,NA,1,2,13839052.97,-5.72,21.6,-33.06,-34.79,-95.7,-65.24,"Tayassu_pecari"
"Artiodactyla","Bovidae",19282.12,1000,5,NA,NA,NA,NA,1,1865786.32,22.28,31.53,13.04,87.11,70.5,78.8,"Tetracerus_quadricornis"
"Artiodactyla","Bovidae",87616.76,1935.86,4,1,1.63,15.5,1,1,274074.58,-22.04,-15.6,-28.48,35.21,29.07,32.14,"Tragelaphus_angasii"
"Artiodactyla","Bovidae",215000.75,2249.44,1,1,NA,15,1,1,41913.3,7.76,9.35,6.16,42,38.4,40.2,"Tragelaphus_buxtoni"
"Artiodactyla","Bovidae",270998.37,2274.99,4,1,NA,13.5,1,1,2564432.61,2.08,10,-5.83,37.81,-12.64,12.58,"Tragelaphus_eurycerus"
"Artiodactyla","Bovidae",94320.39,1675,3,1,NA,3,1,1,1907499.42,3.92,16.88,-9.03,48.87,32.08,40.48,"Tragelaphus_imberbis"
"Artiodactyla","Camelidae",47499.61,1575,1,1,0.12,NA,1,1,817999.23,-19.5,-7.13,-31.87,-65.41,-77.97,-71.69,"Vicugna_vicugna"
